metodo,pergunta_id,precision_5,precision_10,recall_pool_10,mrr_pool,ndcg_10
TF-IDF,Q01,0.8,0.7,0.5384615384615384,1.0,0.8878143222194935
TF-IDF,Q02,1.0,1.0,0.5882352941176471,1.0,0.8620160496029828
TF-IDF,Q03,1.0,1.0,0.4166666666666667,1.0,0.7606971932189102
TF-IDF,Q04,1.0,1.0,0.45454545454545453,1.0,0.49561804563714607
TF-IDF,Q05,1.0,1.0,0.5,1.0,0.7665241578325117
TF-IDF,Q06,0.4,0.3,0.5,1.0,0.638778410686971
TF-IDF,Q07,1.0,1.0,0.5555555555555556,1.0,0.7397194950766687
TF-IDF,Q08,1.0,1.0,0.625,1.0,1.0
TF-IDF,Q09,0.2,0.1,0.1111111111111111,1.0,0.27614577863107187
TF-IDF,Q10,1.0,1.0,0.5882352941176471,1.0,0.7619490156024054
OpenAI,Q01,0.8,0.7,0.5384615384615384,1.0,0.5049023131612554
OpenAI,Q02,0.8,0.7,0.4117647058823529,1.0,0.5588900545482351
OpenAI,Q03,1.0,1.0,0.4166666666666667,1.0,0.7647025611710692
OpenAI,Q04,0.6,0.8,0.36363636363636365,0.5,0.4181576853496382
OpenAI,Q05,1.0,1.0,0.5,1.0,0.6812273701117302
OpenAI,Q06,0.4,0.3,0.5,1.0,0.49468674088802606
OpenAI,Q07,0.8,0.9,0.5,1.0,0.7002204375967296
OpenAI,Q08,1.0,1.0,0.625,1.0,1.0
OpenAI,Q09,1.0,0.8,0.8888888888888888,1.0,0.9476470207933104
OpenAI,Q10,1.0,1.0,0.5882352941176471,1.0,0.833758197368034
Híbrido RRF,Q01,1.0,1.0,0.7692307692307693,1.0,0.9697421698435951
Híbrido RRF,Q02,1.0,1.0,0.5882352941176471,1.0,0.8886993907104377
Híbrido RRF,Q03,1.0,1.0,0.4166666666666667,1.0,0.92663607790064
Híbrido RRF,Q04,1.0,1.0,0.45454545454545453,1.0,0.6905866289058894
Híbrido RRF,Q05,1.0,1.0,0.5,1.0,0.8383354523103074
Híbrido RRF,Q06,0.4,0.3,0.5,1.0,0.6910939197423209
Híbrido RRF,Q07,1.0,1.0,0.5555555555555556,1.0,0.7311372048009948
Híbrido RRF,Q08,1.0,1.0,0.625,1.0,1.0
Híbrido RRF,Q09,0.8,0.6,0.6666666666666666,1.0,0.8201119889005068
Híbrido RRF,Q10,1.0,1.0,0.5882352941176471,1.0,0.8437289933844667
