item_id,llm_passagem_1,llm_passagem_2,divergencia_passagens,houve_adjudicacao,relevancia_final,confianca_final,informacao_suficiente_final,justificativa_llm,evidencia_llm,modelo_julgador
Q01-451757,1,2,True,True,2,alta,True,"O pronunciamento trata diretamente do impacto da reforma da Previdência sobre direitos das pessoas com deficiência, mencionando explicitamente o Estatuto da Pessoa com Deficiência e o Auxílio Inclusão, além de discutir regras de aposentadoria e avaliação/critério de deficiência no contexto da reforma.","""O artigo 94 do Estatuto da Pessoa com Deficiência cria o Auxílio Inclusão""; ""conforme a reforma da Previdência (PEC 06/2019), a aposentadoria para pessoas com deficiência...""",gpt-5.4-mini-2026-03-17
Q01-486118,1,2,True,True,1,alta,True,"O pronunciamento trata de pessoas com deficiência e menciona benefícios previdenciários, mas não aborda de forma específica o impacto da reforma da previdência sobre o Estatuto da Pessoa com Deficiência nem a avaliação da deficiência. Serve apenas como contexto temático.","""as pessoas com deficiência deste País estão, assim, apanhando muito""",gpt-5.4-mini-2026-03-17
Q01-489577,1,0,True,True,0,alta,True,"O pronunciamento trata de veto sobre acessório de adaptação de veículo para pessoa com deficiência e da importância de não pagar imposto, mas não menciona reforma da previdência, Estatuto da Pessoa com Deficiência nem avaliação da deficiência.","""O acessório de adaptação do veículo...""",gpt-5.4-mini-2026-03-17
Q01-493300,1,0,True,True,0,alta,True,"O pronunciamento trata da MPV 1.113, de perícias e fila de benefícios previdenciários, com destaque para acidentes de trabalho. Não menciona reforma da previdência, Estatuto da Pessoa com Deficiência nem avaliação da deficiência.","""a MPV 1.113 altera procedimentos e regras relativos às perícias""",gpt-5.4-mini-2026-03-17
Q02-455461,1,2,True,True,2,alta,True,"O pronunciamento trata diretamente do Fundo Amazônia e menciona a mudança de uso dos recursos para indenizar proprietários rurais em unidades de conservação, tema ligado ao alerta sobre desmatamento da Amazônia. Embora não use exatamente a expressão da pergunta, responde substancialmente ao aspecto pedido.","""O Ministro do Meio Ambiente, Ricardo Salles, anunciou a intenção de usar o dinheiro do fundo para indenizar proprietários rurais...""",gpt-5.4-mini-2026-03-17
Q02-458098,1,0,True,True,0,alta,True,"O pronunciamento trata de desmatamento, queimadas e política ambiental na Amazônia, mas não menciona aumento do desmatamento relacionado ao uso de recursos do Fundo Amazônia para regularização fundiária. O tema específico da pergunta não aparece no texto.","""O problema central é que o Governo Bolsonaro está ideologizando e polarizando tudo.""",gpt-5.4-mini-2026-03-17
Q02-469349,1,0,True,True,1,baixa,False,"O pronunciamento trata de desmatamento da Amazônia e do Fundo Amazônia, mas não menciona aumento do desmatamento relacionado ao uso de recursos do Fundo Amazônia para regularização fundiária. Há apenas referência genérica ao Fundo Amazônia e ao combate ao desmatamento, sem o aspecto específico pedido.","""Eu fico feliz que a liderança do Fundo Amazônia passe a ser de V. Exa.""",gpt-5.4-mini-2026-03-17
Q02-483899,1,0,True,True,1,media,True,"O pronunciamento trata de Amazônia, desmatamento e regularização fundiária, mas não menciona aumento do desmatamento nem relaciona isso ao uso de recursos do Fundo Amazônia para regularização fundiária. Serve apenas como contexto temático, sem responder ao aspecto específico pedido.","""Assim como nós estamos debatendo a regularização fundiária""",gpt-5.4-mini-2026-03-17
Q03-451861,1,2,True,True,1,alta,True,"O pronunciamento trata diretamente da violência contra a mulher e da defesa das mulheres, mas não menciona explicitamente um pedido para que o Senado se posicionasse ativamente contra a violência à mulher e em defesa dos direitos femininos. Assim, é apenas parcialmente relevante para identificar o pronunciamento solicitado.","""Como Promotora de Justiça há 16 anos, adquiri uma sensibilidade para sentir a dor da mulher que sofre violência.""",gpt-5.4-mini-2026-03-17
Q03-456474,1,2,True,True,2,alta,True,"O pronunciamento trata diretamente da proteção dos direitos das mulheres e afirma que o Senado demonstra responsabilidade com essa pauta, o que corresponde ao pedido de posicionamento ativo contra a violência à mulher e em defesa dos direitos femininos.","""este Senado demonstra ao País... a sua responsabilidade com a proteção dos direitos das mulheres brasileiras""",gpt-5.4-mini-2026-03-17
Q03-472904,1,2,True,True,1,alta,True,"O pronunciamento trata de violência contra a mulher e da defesa das mulheres, mas não solicita explicitamente que o Senado se posicione ativamente contra a violência à mulher; apenas registra e elogia um livro sobre o tema.","""É um instrumento muito importante na luta que nós, todas as mulheres, travamos contra a violência.""",gpt-5.4-mini-2026-03-17
Q03-489165,2,1,True,True,1,alta,True,"O texto trata de uma sessão do Senado voltada à defesa dos direitos da mulher e à homenagem a Maria da Penha, o que se relaciona ao tema de direitos femininos e violência contra a mulher. Porém, o trecho fornecido não mostra explicitamente um pronunciamento pedindo que o Senado se posicione ativamente contra a violência à mulher; apenas contextualiza a sessão e a premiação.","""foi criado para agraciar pessoas que contribuíram na defesa dos direitos da mulher""; ""homenagem especial à Sra. Maria da Penha""",gpt-5.4-mini-2026-03-17
Q04-474301,2,1,True,True,2,alta,True,"O pronunciamento trata diretamente do FUNDEB, de sua regulamentação futura e da valorização de professores; embora não mencione explicitamente a história da educação brasileira desde 1930, aborda o tema educacional central da pergunta e a importância dos profissionais da educação. Assim, ajuda substancialmente a identificar o discurso pedido.","""a regulamentação do FUNDEB""; ""a valorização da educação, da melhoria da qualidade da educação""; ""o trabalho dos nossos professores e das nossas professoras""",gpt-5.4-mini-2026-03-17
Q04-488977,1,0,True,True,1,baixa,False,"O trecho menciona o Fundeb e a importância dos professores, mas não aborda a história da educação brasileira desde 1930 nem a importância de diretores. Assim, só há correspondência parcial com a pergunta.","""A questão do recurso do Fundeb é essencial... em especial dos professores""",gpt-5.4-mini-2026-03-17
Q04-489605,1,0,True,True,1,baixa,False,"O pronunciamento trata de educação brasileira, alfabetização e papel de prefeitos/governadores, mas não aborda a história da educação desde 1930, o futuro do Fundeb nem a importância de diretores e professores de forma específica. Há apenas tema geral de educação, sem responder substancialmente à pergunta.","""eu vou falar da educação""; ""alfabetizar no tempo certo""",gpt-5.4-mini-2026-03-17
Q04-493989,1,0,True,True,0,alta,True,"O texto trata de agradecimento e valorização de professoras e professores, mas não aborda a história da educação brasileira desde 1930 nem o futuro do Fundeb, nem menciona diretores. Portanto, não responde ao aspecto específico perguntado.","""quero agradecer publicamente às professoras e aos professores""",gpt-5.4-mini-2026-03-17
Q05-483891,1,0,True,True,1,baixa,False,"O pronunciamento trata de combustíveis, inflação e impostos, mas não menciona o endividamento das famílias nem relaciona isso explicitamente ao aumento do preço dos combustíveis anunciado pela Petrobras. Há apenas contexto econômico geral, insuficiente para responder à pergunta específica.","""nosso combustível, atrelado ao dólar""; ""a inflação ajuda o fluxo de caixa do Governo""",gpt-5.4-mini-2026-03-17
Q05-484724,1,0,True,True,1,baixa,False,"O pronunciamento trata do aumento do preço dos combustíveis e de seus efeitos sobre a inflação e a população, mas não relaciona explicitamente o endividamento das famílias ao aumento anunciado pela Petrobras. Há apenas contexto geral sobre combustíveis caros e impacto econômico.","""Refiro-me ao preço dos combustíveis no País, que certamente são impulsionadores da inflação""",gpt-5.4-mini-2026-03-17
Q05-486415,1,2,True,True,2,alta,True,"O pronunciamento relaciona explicitamente o aumento do preço dos combustíveis à inflação que ""come a renda das famílias mais pobres"" e ao endividamento/custo de vida das famílias, respondendo ao tema perguntado.","""o que gera a inflação que come a renda das famílias mais pobres do Brasil""",gpt-5.4-mini-2026-03-17
Q05-488579,1,2,True,True,1,baixa,False,"O pronunciamento trata do aumento do preço dos combustíveis anunciado pela Petrobras e de seus efeitos sobre o povo, mas não menciona o endividamento das famílias. Assim, há apenas relação temática parcial, sem responder substancialmente ao aspecto específico perguntado.","""o preço da gasolina chegou a quase R$7""; ""o preço do combustível na bomba continua o mesmo""",gpt-5.4-mini-2026-03-17
Q06-456624,1,0,True,True,2,alta,True,"O pronunciamento menciona explicitamente a área indígena Uru-Eu-Wau-Wau em Rondônia, denuncia invasões/ocupação e pede providências ao Ministério da Justiça para envio de força policial. Embora cite a Força Nacional, a pergunta pede atuação da Polícia Federal; o texto ainda assim trata diretamente do episódio denunciado.","""estão entrando nas reservas indígenas""; ""solicito ao Ministério da Justiça... que o Ministro Sérgio Moro tome providências""",gpt-5.4-mini-2026-03-17
