chave,titulo,tipo,ano,lote,status,arquivo,fonte_consultada,texto_local,leitura_pesquisador,observacao,origem_selecao,subcategoria_tematica
hevnerEtAl2004designScience,Design Science in Information Systems Research,article,2004,4 — metodologia de pesquisa e desenho do estudo,Fichado — consulta focal/parcial,43-hevnerEtAl2004designScience.tex,https://ailab-ua.github.io/courses/MIS611D/hevner-2004-design_science_in_is_research.pdf,PDF e extração,Não registrada,"Resumo, introdução, tabela 1 e discussão das diretrizes 1–3; exemplares não fichados.",pré-projeto,Design Science Research
peffersEtAl2007dsrm,A Design Science Research Methodology for Information Systems Research,article,2007,4 — metodologia de pesquisa e desenho do estudo,Pendente — acesso ou versão,,https://doi.org/10.2753/MIS0742-1222240302,Não localizado em fichamentos/fontes,Não registrada,Texto integral não obtido: cópia universitária excedeu tempo de conexão e alternativas anteriores falharam. Necessário PDF da publicação de 2007.,pré-projeto,Design Science Research
bandeiraBernardes2016information,Information vs Engagement in Parliamentary Websites -- A Case Study of Brazil and the UK,article,2016,2 — contexto legislativo e aplicações parlamentares,Fichado — consulta focal/parcial,14-bandeiraBernardes2016information.tex,https://revistas.ufpr.br/rsp/article/download/48709/29300,PDF e extração,Não registrada,"Resumo, seção III e conclusão (VI).",pré-projeto,informação e engajamento parlamentar
geunis2023parliamentaryMonitoring,Parliamentary Monitoring Organizations: Partners in Parliamentary Oversight,online,2023,2 — contexto legislativo e aplicações parlamentares,Pendente — acesso ou versão,,https://www.idea.int/publications/catalogue/html/parliamentary-monitoring-organizations-partners-parliamentary,Não localizado em fichamentos/fontes,Não registrada,"Identidade/versão pendente: URL atualmente apresenta Partners in Parliamentary Strengthening, com material de 2025, divergindo de título e ano da entrada de 2023. Não substituído silenciosamente.",pré-projeto,governança e diretrizes institucionais
ipu2024aiParliaments,Use Cases for AI in Parliaments,report,2024,2 — contexto legislativo e aplicações parlamentares,Fichado — consulta focal/parcial,03-ipu.tex,https://www.ipu.org/file/20635/download,PDF e extração,Não registrada,Usada também no piloto do modelo de fichamento.,pré-projeto,governança e diretrizes institucionais
skubicFiser2024discourseReview,Parliamentary Discourse Research in Political Science: Literature Review,inproceedings,2024,1 — avaliação de RAG e benchmarks,Fichado — consulta focal/parcial,12-skubic.tex,https://aclanthology.org/2024.parlaclarin-1.1/,PDF e extração,Não registrada,,pré-projeto,corpus e discurso parlamentar
martelloteViola2025organizacaoConhecimento,Intelig{\^e}ncia Artificial na Organiza{\c c}{\~a}o do Conhecimento do Parlamento brasileiro: um estudo aplicado aos dados e {\`a}s informa{\c c}{\~o}es legislativas,article,2025,2 — contexto legislativo e aplicações parlamentares,Fichado — consulta focal/parcial,45-martelloteViola2025organizacaoConhecimento.tex,https://isko.org.br/ojs/index.php/iskobrasil/article/download/52/54/685,Notas de conferência da extração web,Não registrada,"Extração web do PDF oficial: resumo e seções 2–4, até recuperação de documentos. Sem PDF local; leitura parcial.",pré-projeto,organização do conhecimento legislativo
minaee2024llmSurvey,Large Language Models: A Survey,online,2024,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,25-minaee2024llmSurvey.tex,https://arxiv.org/pdf/2402.06196v1,PDF e extração,Não registrada,"Resumo, mapa de organização e trechos de desafios; consulta parcial.",pré-projeto,surveys e revisões
anhHoang2025hallucinations,Survey and Analysis of Hallucinations in Large Language Models: Attribution to Prompting Strategies or Model Behavior,article,2025,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,39-anhHoang2025hallucinations.tex,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1622292/pdf,PDF e extração,Não registrada,"Resumo, definições, seção 4 e trechos da seção 5; consulta parcial.",pré-projeto,surveys e revisões
dahlEtAl2024largeLegalFictions,Large Legal Fictions: Profiling Legal Hallucinations in Large Language Models,article,2024,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,40-dahlEtAl2024largeLegalFictions.tex,https://arxiv.org/pdf/2401.01301v1,PDF e extração,Não registrada,Resumo e introdução/tipologia. A bibliografia cita a publicação; ficha usa arXiv v1.,pré-projeto,alucinação e avaliação geral
wfd2023guidelinesAiParliaments,Guidelines for AI in Parliaments,report,2023,2 — contexto legislativo e aplicações parlamentares,Fichado — consulta focal/parcial,19-wfd2023guidelinesAiParliaments.tex,https://www.agora-parl.org/sites/default/files/agora-documents/English%20-%20WFD%20AI%20Guidelines%20for%20Parliaments.pdf,PDF e extração,Não registrada,"Apresentação e diretrizes 4.4, 5.3 e 5.7. A chave bibliográfica registra 2023; o PDF consultado é de 2024.",pré-projeto,governança e diretrizes institucionais
deAlmeidaSantos2025aiGovernance,Artificial intelligence governance: Understanding how public organizations implement it,article,2025,2 — contexto legislativo e aplicações parlamentares,Pendente — acesso ou versão,,https://www.sciencedirect.com/science/article/pii/S0740624X24000959,Não localizado em fichamentos/fontes,Não registrada,Texto integral não localizado; acesso disponível a metadados/resumo. Necessária cópia da publicação identificada pelo DOI.,pré-projeto,governança e diretrizes institucionais
lewisEtAl2020rag,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,inproceedings,2020,1 — avaliação de RAG e benchmarks,Fichado — consulta focal/parcial,09-lewis.tex,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,PDF e extração,Não registrada,,pré-projeto,arquiteturas RAG
gao2023ragSurvey,Retrieval-Augmented Generation for Large Language Models: A Survey,online,2023,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,26-gao2023ragSurvey.tex,https://arxiv.org/pdf/2312.10997v1,PDF e extração,Não registrada,"Resumo, arquitetura, Advanced RAG e trecho de avaliação; consulta parcial.",pré-projeto,surveys e revisões
gupta2024comprehensiveRag,"A Comprehensive Survey of Retrieval-Augmented Generation (RAG): Evolution, Current Landscape and Future Directions",online,2024,"5 — fundamentos, revisões e riscos",Fichado — consulta focal/parcial,27-gupta2024comprehensiveRag.tex,https://arxiv.org/pdf/2410.12837v1,PDF e extração,Não registrada,Resumo e seção 7 (conclusão).,pré-projeto,surveys e revisões
saadFalconEtAl2024ares,ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems,inproceedings,2024,1 — avaliação de RAG e benchmarks,Fichado — consulta focal/parcial,01-ares.tex,https://aclanthology.org/2024.naacl-long.20/,PDF e extração,Não registrada,Usada também no piloto do modelo de fichamento.,pré-projeto,métricas e avaliação automatizada
esEtAl2023ragas,Ragas: Automated Evaluation of Retrieval Augmented Generation,online,2023,1 — avaliação de RAG e benchmarks,Fichado — consulta focal/parcial,04-ragas.tex,https://aclanthology.org/2024.eacl-demo.16/,PDF e extração,Não registrada,"Chave de preprint 2023; ficha usa publicação EACL 2024, p.150–158.",pré-projeto,métricas e avaliação automatizada
liuEtAl2025judgeRag,Judge as A Judge: Improving the Evaluation of Retrieval-Augmented Generation through the Judge-Consistency of Large Language Models,inproceedings,2025,1 — avaliação de RAG e benchmarks,Fichado — consulta focal/parcial,05-judge.tex,https://aclanthology.org/2025.findings-acl.301/,PDF e extração,Não registrada,,pré-projeto,LLM-as-a-judge
khaliq2024ragar,"RAGAR, Your Falsehood Radar: RAG-Augmented Reasoning for Political Fact-Checking Using Multimodal Large Language Models",inproceedings,2024,1 — avaliação de RAG e benchmarks,Fichado — consulta focal/parcial,11-ragar.tex,https://aclanthology.org/2024.fever-1.29/,PDF e extração,Não registrada,,pré-projeto,aplicações RAG jurídico-políticas
chouhanGertz2024lexdrafter,LexDrafter: Terminology Drafting for Legislative Documents Using Retrieval Augmented Generation,inproceedings,2024,1 — avaliação de RAG e benchmarks,Fichado — consulta focal/parcial,10-lexdrafter.tex,https://aclanthology.org/2024.lrec-main.913/,PDF e extração,Não registrada,Prosa afirma vantagem em três métricas; tabela arredondada empata BERTScore/BLEURT.,pré-projeto,aplicações RAG jurídico-políticas
garrisonEtAl2024talkNdaa,Talk to the NDAA: Evaluating Retrieval Augmented Generation (RAG) on Congressional Legislation using Large Language Models (LLM),report,2024,1 — avaliação de RAG e benchmarks,Fichado — consulta focal/parcial,13-ndaa.tex,https://www.ida.org/-/media/feature/publications/t/ta/talk-to-the-ndaa/3001199.ashx,Extração web; download PDF falhou,Não registrada,"Duas URLs oficiais retornaram HTTP 404 no download; extração web do PDF acessível, localizadores por seção.",pré-projeto,aplicações RAG jurídico-políticas
rogiersEtAl2024kamerraad,KamerRaad: Enhancing Information Retrieval in Belgian National Politics Through Hierarchical Summarization and Conversational Interfaces,inproceedings,2024,2 — contexto legislativo e aplicações parlamentares,Fichado — consulta focal/parcial,02-kamerraad.tex,https://arxiv.org/abs/2404.17597,PDF e extração,Não registrada,"Bibliografia original: Bram Kang/p.503–519; ficha: Bo Kang/p.409–412, conforme conferência do piloto. Usada também no piloto do modelo de fichamento.",pré-projeto,aplicações RAG jurídico-políticas
