codigo_licitacao,codigo_orgao,objeto,unidade_medida,quantidade,valor_unitario_estimado,valor_total_estimado
LIC-2024-0001,ORG-004,Aquisição de microcomputadores de alto desempenho,Unidade,199,4875.15,970154.85
LIC-2024-0002,ORG-008,Fornecimento de merenda escolar desidratada e perecível,Kg,11717,29.76,348697.92
LIC-2024-0003,ORG-018,Contratação de serviços de limpeza e conservação hospitalar,Mês,30,27657.65,829729.5
LIC-2024-0004,ORG-001,Contratação de serviços de limpeza e conservação hospitalar,Mês,18,21979.83,395636.94
LIC-2024-0005,ORG-020,Aquisição de microcomputadores de alto desempenho,Unidade,153,4494.19,687611.07
LIC-2024-0006,ORG-018,Serviços de desenvolvimento de softwares sob medida,Ponto de Função,551,674.6,371704.6
LIC-2024-0007,ORG-009,Contratação de link de internet de alta velocidade e dados,Mbps/Mês,12,101.91,1222.92
LIC-2024-0008,ORG-006,Fornecimento de combustível para frota institucional,Litro,120785,5.74,693305.9
LIC-2024-0009,ORG-005,Serviços de manutenção preventiva e corretiva em veículos oficiais,Hora/Homem,1763,173.86,306515.18
LIC-2024-0010,ORG-003,Serviços de desenvolvimento de softwares sob medida,Ponto de Função,298,629.49,187588.02
LIC-2024-0011,ORG-012,Obras de pavimentação e recapeamento asfáltico urbano,Metro Quadrado,22335,159.75,3568016.25
LIC-2024-0012,ORG-015,Locação de impressoras multifuncionais com outsourcing,Página/Mês,361779,0.25,90444.75
LIC-2024-0013,ORG-013,Contratação de serviços de limpeza e conservação hospitalar,Mês,29,23795.35,690065.15
LIC-2024-0014,ORG-020,Aquisição de licenças de software para segurança de dados (Firewall),Licença,205,3105.26,636578.3
LIC-2024-0015,ORG-003,Aquisição de microcomputadores de alto desempenho,Unidade,179,4639.49,830468.71
LIC-2024-0016,ORG-010,Contratação de serviços de limpeza e conservação hospitalar,Mês,19,40994.51,778895.69
LIC-2024-0017,ORG-013,Aquisição de medicamentos essenciais para a rede municipal de saúde,Caixa,15857,95.55,1515136.35
LIC-2024-0018,ORG-012,Fornecimento de merenda escolar desidratada e perecível,Kg,29260,21.56,630845.6
LIC-2024-0019,ORG-009,Fornecimento de combustível para frota institucional,Litro,28717,6.17,177183.89
LIC-2024-0020,ORG-006,Locação de impressoras multifuncionais com outsourcing,Página/Mês,1629089,0.12,195490.68
LIC-2024-0021,ORG-015,Serviços de desenvolvimento de softwares sob medida,Ponto de Função,652,944.76,615983.52
LIC-2024-0022,ORG-018,Serviços de manutenção preventiva e corretiva em veículos oficiais,Hora/Homem,1602,171.89,275367.78
LIC-2024-0023,ORG-002,Serviços de manutenção preventiva e corretiva em veículos oficiais,Hora/Homem,1883,125.14,235638.62
LIC-2024-0024,ORG-011,Serviços de desenvolvimento de softwares sob medida,Ponto de Função,648,483.09,313042.32
LIC-2024-0025,ORG-019,Aquisição de licenças de software para segurança de dados (Firewall),Licença,181,1901.67,344202.27
LIC-2024-0026,ORG-016,Serviços de desenvolvimento de softwares sob medida,Ponto de Função,1416,679.43,962072.88
LIC-2024-0027,ORG-009,Fornecimento de merenda escolar desidratada e perecível,Kg,21162,31.5,666603.0
LIC-2024-0028,ORG-018,Aquisição de medicamentos essenciais para a rede municipal de saúde,Caixa,20155,70.27,1416291.85
LIC-2024-0029,ORG-019,Serviços de desenvolvimento de softwares sob medida,Ponto de Função,841,559.66,470674.06
LIC-2024-0030,ORG-005,Locação de impressoras multifuncionais com outsourcing,Página/Mês,1134977,0.1,113497.7
LIC-2024-0031,ORG-002,Fornecimento e instalação de painéis solares fotovoltaicos,Sistema,3,39519.93,118559.79
LIC-2024-0032,ORG-006,Contratação de link de internet de alta velocidade e dados,Mbps/Mês,33,76.66,2529.78
LIC-2024-0033,ORG-003,Serviços de desenvolvimento de softwares sob medida,Ponto de Função,881,747.94,658935.14
LIC-2024-0034,ORG-015,Locação de impressoras multifuncionais com outsourcing,Página/Mês,627253,0.25,156813.25
LIC-2024-0035,ORG-001,Serviços de consultoria em governança e conformidade (Compliance),Hora/Consultor,384,488.6,187622.4
LIC-2024-0036,ORG-018,Contratação de link de internet de alta velocidade e dados,Mbps/Mês,20,102.64,2052.8
LIC-2024-0037,ORG-011,Contratação de serviços de limpeza e conservação hospitalar,Mês,21,28042.96,588902.16
LIC-2024-0038,ORG-015,Aquisição de microcomputadores de alto desempenho,Unidade,194,7879.26,1528576.44
LIC-2024-0039,ORG-009,Locação de impressoras multifuncionais com outsourcing,Página/Mês,1697950,0.11,186774.5
LIC-2024-0040,ORG-004,Fornecimento e instalação de painéis solares fotovoltaicos,Sistema,12,53352.26,640227.12
LIC-2024-0041,ORG-017,Obras de pavimentação e recapeamento asfáltico urbano,Metro Quadrado,18035,91.05,1642086.75
LIC-2024-0042,ORG-006,Locação de impressoras multifuncionais com outsourcing,Página/Mês,1732898,0.24,415895.52
LIC-2024-0043,ORG-001,Obras de pavimentação e recapeamento asfáltico urbano,Metro Quadrado,26243,126.3,3314490.9
LIC-2024-0044,ORG-004,Aquisição de licenças de software para segurança de dados (Firewall),Licença,205,4099.78,840454.9
LIC-2024-0045,ORG-010,Serviços de manutenção preventiva e corretiva em veículos oficiais,Hora/Homem,318,158.54,50415.72
LIC-2024-0046,ORG-019,Contratação de serviços de limpeza e conservação hospitalar,Mês,14,36957.23,517401.22
LIC-2024-0047,ORG-003,Contratação de link de internet de alta velocidade e dados,Mbps/Mês,29,102.44,2970.76
LIC-2024-0048,ORG-005,Serviços de consultoria em governança e conformidade (Compliance),Hora/Consultor,1123,581.4,652912.2
LIC-2024-0049,ORG-006,Aquisição de medicamentos essenciais para a rede municipal de saúde,Caixa,18290,124.44,2276007.6
LIC-2024-0050,ORG-014,Serviços de manutenção preventiva e corretiva em veículos oficiais,Hora/Homem,1304,240.84,314055.36
LIC-2024-0051,ORG-007,Fornecimento de combustível para frota institucional,Litro,91714,5.84,535609.76
LIC-2024-0052,ORG-012,Aquisição de mobiliário de escritório padronizado,Conjunto,314,1567.53,492204.42
LIC-2024-0053,ORG-008,Serviços de manutenção preventiva e corretiva em veículos oficiais,Hora/Homem,331,174.09,57623.79
LIC-2024-0054,ORG-019,Locação de impressoras multifuncionais com outsourcing,Página/Mês,582585,0.18,104865.3
LIC-2024-0055,ORG-001,Contratação de serviços de limpeza e conservação hospitalar,Mês,34,33933.09,1153725.06
LIC-2024-0056,ORG-008,Contratação de serviços de limpeza e conservação hospitalar,Mês,13,40789.06,530257.78
LIC-2024-0057,ORG-003,Locação de impressoras multifuncionais com outsourcing,Página/Mês,599131,0.13,77887.03
LIC-2024-0058,ORG-016,Serviços de manutenção preventiva e corretiva em veículos oficiais,Hora/Homem,1304,141.17,184085.68
LIC-2024-0059,ORG-019,Obras de pavimentação e recapeamento asfáltico urbano,Metro Quadrado,35976,100.51,3615947.76
